id_venta,fecha,id_cliente,id_producto,cantidad,precio_unitario,region,canal,costo_unitario
37,2025-10-04 06:13:52.016008004,223,20,22,272.32,Sur,Online,196.46
38,2025-10-04 08:24:15.127563781,250,26,38,321.31,Oriente,Tienda,257.69
39,04/10/2025,147,4,37,106.28,Sur,Online,56.11
40,2025-10-04 12:45:01.350675337,96,22,45,113.76,Centro,Tienda,87.86
41,04/10/2025,257,15,8,30.33,Norte,Tienda,20.4
42,04/10/2025,4,40,41,167.81,Sur,Tienda,117.04
43,2025-10-04 19:16:10.685342671,16,21,49,284.27,Centro,Distribuidor,207.2
44,2025-10-04 21:26:33.796898449,280,15,35,430.39,Sur,Online,354.18
45,04/10/2025,247,22,11,336.79,Norte,Online,175.08
46,2025-10-05 01:47:20.020010005,258,28,24,223.34,Centro,Tienda,113.97
47,2025-10-05 03:57:43.131565782,160,14,49,477.03,Centro,Online,268.28
48,05/10/2025,152,27,21,362.43,Norte,Distribuidor,306.35
49,2025-10-05 08:18:29.354677338,178,40,2,465.78,Centro,Online,349.46
50,05/10/2025,163,28,40,268.52,Norte,Tienda,192.03
51,2025-10-05 12:39:15.577788894,33,26,19,136.86,Centro,Distribuidor,70.68
52,2025-10-05 14:49:38.689344672,179,2,39,35.89,Centro,Distribuidor,28.99
53,2025-10-05 17:00:01.800900450,101,25,28,365.78,Norte,Tienda,286.94
54,05/10/2025,268,3,17,69.44,Norte,Online,50.88
55,2025-10-05 21:20:48.024012006,65,8,6,158.36,Centro,Tienda,97.98
56,05/10/2025,168,33,19,270.91,Centro,Online,142.14
57,2025-10-06 01:41:34.247123561,43,35,38,286.56,Norte,Online,NA
58,06/10/2025,44,6,28,304.29,Oriente,Distribuidor,228.79
59,06/10/2025,285,39,2,91.47,Norte,Tienda,48.75
60,06/10/2025,12,23,38,196.07,Centro,Distribuidor,141.53
61,2025-10-06 10:23:06.693346673,95,25,37,312.43,Centro,Tienda,187.53
62,2025-10-06 12:33:29.804902451,253,19,4,485.21,Centro,Tienda,372.39
63,2025-10-06 14:43:52.916458229,242,5,22,366.54,Norte,Distribuidor,252.5
64,06/10/2025,35,11,26,462.08,Centro,Tienda,251.91
65,06/10/2025,215,12,49,383.48,Oriente,Tienda,262.41
66,06/10/2025,90,10,43,299.94,Sur,Online,191.51
67,06/10/2025,264,8,36,104.09,Oriente,Tienda,58.62
68,07/10/2025,93,24,13,336.68,Norte,Tienda,267.5
69,07/10/2025,90,28,32,315.46,Centro,Distribuidor,158.95
70,2025-10-07 05:56:34.697348674,115,36,17,305.21,Norte,Distribuidor,185.95
71,07/10/2025,105,37,41,250.0,Sur,Tienda,126.1
72,07/10/2025,196,21,36,269.04,Norte,Online,143.56
73,07/10/2025,114,8,46,173.88,Centro,Online,105.02
74,2025-10-07 14:38:07.143571785,75,9,19,264.46,Sur,Distribuidor,137.25
75,07/10/2025,217,15,35,106.8,Sur,Tienda,75.7
76,07/10/2025,277,40,46,404.54,Centro,Tienda,214.57
77,07/10/2025,249,18,40,101.03,Centro,Online,75.33
78,2025-10-07 23:19:39.589794897,164,20,28,51.63,Centro,Online,26.77
79,08/10/2025,192,6,1,223.76,Norte,Online,116.52
80,08/10/2025,227,12,42,332.57,Oriente,Distribuidor,201.82
81,2025-10-08 05:50:48.924462231,177,2,18,224.48,Norte,Tienda,182.68
82,2025-10-08 08:01:12.036018009,99,7,48,145.61,Norte,Distribuidor,105.49
83,2025-10-08 10:11:35.147573786,36,16,40,283.5,Oriente,Tienda,218.17
84,08/10/2025,96,3,33,180.03,Centro,Distribuidor,98.93
85,2025-10-08 14:32:21.370685342,152,3,12,467.11,Centro,Tienda,369.92
86,2025-10-08 16:42:44.482241120,151,27,8,462.1,Oriente,Online,232.37
87,2025-10-08 18:53:07.593796898,190,40,24,256.16,Oriente,Online,147.18
88,08/10/2025,224,38,16,170.66,Norte,Online,122.13
89,08/10/2025,37,33,4,371.19,Sur,Distribuidor,234.35
90,09/10/2025,268,28,38,27.99,Oriente,Online,23.64
91,09/10/2025,183,1,44,242.64,Norte,Tienda,123.9
92,2025-10-09 05:45:03.151575787,13,8,27,174.8,Sur,Distribuidor,148.49
93,09/10/2025,279,37,9,461.06,Centro,Tienda,331.17
94,2025-10-09 10:05:49.374687343,217,32,47,15.88,Centro,Distribuidor,11.05
95,2025-10-09 12:16:12.486243121,286,37,16,280.88,Norte,Tienda,146.29
96,2025-10-09 14:26:35.597798899,273,4,12,372.93,Norte,Tienda,222.14
97,2025-10-09 16:36:58.709354677,62,30,31,247.66,Oriente,Distribuidor,203.98
98,2025-10-09 18:47:21.820910455,84,6,24,51.85,Centro,Distribuidor,32.35
99,09/10/2025,217,19,14,486.51,Norte,Online,355.92
100,09/10/2025,187,32,45,263.83,Centro,Online,224.21
101,2025-10-10 01:18:31.155577788,19,9,25,310.95,Centro,Tienda,184.11
102,2025-10-10 03:28:54.267133566,177,12,34,125.94,Oriente,Tienda,88.36
103,10/10/2025,100,11,3,246.91,Sur,Tienda,183.64
104,2025-10-10 07:49:40.490245122,233,16,24,220.28,Oriente,Distribuidor,122.83
105,10/10/2025,76,1,42,46.7,Norte,Distribuidor,25.78
106,10/10/2025,265,21,9,62.02,Oriente,Online,40.92
107,2025-10-10 14:20:49.824912456,284,30,26,420.36,Oriente,Tienda,266.94
108,2025-10-10 16:31:12.936468234,206,13,20,127.51,Centro,Online,95.63
109,2025-10-10 18:41:36.048024012,223,34,40,105.53,Oriente,Distribuidor,55.33
110,2025-10-10 20:51:59.159579789,52,4,10,257.41,Norte,Distribuidor,216.29
111,10/10/2025,144,28,19,386.69,Sur,Distribuidor,195.28
112,11/10/2025,69,38,3,40.35,Oriente,Online,28.67
113,11/10/2025,99,31,24,292.64,Oriente,Distribuidor,203.95
114,11/10/2025,25,27,5,68.41,Sur,Tienda,37.43
115,2025-10-11 07:43:54.717358679,53,5,3,27.87,Norte,Online,15.41
116,11/10/2025,151,25,27,35.84,Norte,Distribuidor,27.86
117,2025-10-11 12:04:40.940470235,144,3,16,418.74,Oriente,Online,339.45
118,2025-10-11 14:15:04.052026013,57,33,49,67.81,Centro,Online,40.62
119,2025-10-11 16:25:27.163581790,39,4,15,32.12,Oriente,Distribuidor,20.98
120,2025-10-11 18:35:50.275137568,109,25,35,224.57,Sur,Distribuidor,140.19
121,11/10/2025,181,20,12,423.56,Sur,Online,NA
122,2025-10-11 22:56:36.498249124,42,34,41,138.58,Sur,Online,101.94
123,2025-10-12 01:06:59.609804902,186,26,44,216.64,Oriente,Distribuidor,170.89
124,2025-10-12 03:17:22.721360680,223,5,26,29.56,NA,Tienda,17.93
125,12/10/2025,122,35,47,230.05,Norte,Online,194.75
126,12/10/2025,133,28,34,293.03,Centro,Online,154.29
127,12/10/2025,163,29,23,289.74,Oriente,Tienda,211.98
128,12/10/2025,215,9,31,172.89,Norte,Distribuidor,113.57
129,12/10/2025,221,38,20,164.61,Oriente,Distribuidor,108.04
130,2025-10-12 16:19:41.390695347,235,6,12,62.25,Norte,Tienda,41.1
131,2025-10-12 18:30:04.502251125,146,19,23,189.73,Norte,Distribuidor,112.04
132,12/10/2025,239,11,4,58.75,Centro,Distribuidor,44.09
133,12/10/2025,76,2,23,385.63,Oriente,Online,290.21
134,13/10/2025,9,9,48,483.47,Norte,Online,289.52
135,2025-10-13 03:11:36.948474237,74,21,48,485.34,Sur,Online,384.56
136,13/10/2025,253,24,1,433.88,Sur,Tienda,265.06
137,13/10/2025,230,34,25,304.39,Sur,Distribuidor,229.44
138,13/10/2025,7,22,2,353.42,NA,Distribuidor,191.68
139,13/10/2025,174,3,30,149.75,Norte,Online,83.72
140,13/10/2025,141,12,3,319.08,Centro,Online,194.81
141,2025-10-13 16:13:55.617808904,168,28,21,233.27,Oriente,Tienda,165.12
142,13/10/2025,170,30,25,246.19,Oriente,Distribuidor,178.72
143,2025-10-13 20:34:41.840920460,283,26,20,381.31,Norte,Tienda,243.55
144,2025-10-13 22:45:04.952476238,122,21,49,148.14,Sur,Distribuidor,78.11
145,14/10/2025,194,28,22,165.84,Norte,Tienda,104.61
146,2025-10-14 03:05:51.175587793,5,26,21,463.07,Norte,Online,343.17
147,14/10/2025,29,33,33,37.55,Norte,Tienda,27.59
148,14/10/2025,165,21,38,247.96,Centro,Tienda,137.88
149,2025-10-14 09:37:00.510255127,136,35,15,457.27,Oriente,Online,229.88
150,2025-10-14 11:47:23.621810905,145,34,46,309.08,Norte,Distribuidor,236.0
151,14/10/2025,217,18,15,277.74,Norte,Distribuidor,149.21
152,2025-10-14 16:08:09.844922461,132,11,46,132.37,Norte,Online,70.0
153,14/10/2025,292,23,25,178.2,Centro,Tienda,89.27
154,14/10/2025,70,22,21,427.5,Centro,Tienda,278.48
155,14/10/2025,252,17,24,284.02,Centro,Tienda,192.04
156,15/10/2025,275,5,5,262.22,Norte,Distribuidor,189.63
157,2025-10-15 03:00:05.402701350,182,11,6,58.79,Sur,Tienda,35.49
158,15/10/2025,167,30,49,17.85,Sur,Distribuidor,13.36
159,15/10/2025,91,15,43,482.21,Sur,Tienda,269.68
160,15/10/2025,202,27,48,194.72,Oriente,Online,154.06
161,2025-10-15 11:41:37.848924462,19,35,44,305.57,Norte,Online,213.94
162,15/10/2025,39,33,47,49.06,Sur,Distribuidor,34.56
163,15/10/2025,126,20,23,344.73,Sur,Distribuidor,197.68
164,15/10/2025,173,16,4,466.96,Sur,Online,245.59
165,15/10/2025,141,34,27,292.08,Norte,Online,193.55
166,2025-10-15 22:33:33.406703351,242,2,18,71.8,Sur,Tienda,51.37
167,16/10/2025,220,35,21,295.04,Sur,Online,157.33
168,16/10/2025,126,40,28,385.51,Norte,Distribuidor,321.01
169,2025-10-16 05:04:42.741370685,58,28,35,209.14,Oriente,Online,176.34
170,16/10/2025,148,39,22,441.12,Centro,Distribuidor,304.77
171,2025-10-16 09:25:28.964482241,1,6,40,327.85,Sur,Distribuidor,272.94
172,2025-10-16 11:35:52.076038019,190,9,23,450.63,Centro,Tienda,253.62
173,16/10/2025,191,20,3,315.52,Oriente,Tienda,160.57
174,2025-10-16 15:56:38.299149574,117,1,40,74.33,Oriente,Tienda,38.19
175,2025-10-16 18:07:01.410705352,134,8,10,161.75,Sur,Tienda,114.14
176,16/10/2025,58,23,25,108.88,Norte,Online,56.79
177,2025-10-16 22:27:47.633816908,44,3,49,455.32,Oriente,Tienda,380.42
178,2025-10-17 00:38:10.745372686,173,4,8,382.6,Centro,Online,210.31
179,17/10/2025,160,25,11,341.44,Centro,Tienda,207.14
180,17/10/2025,173,38,5,157.47,Centro,Tienda,124.07
181,2025-10-17 07:09:20.080040020,149,15,45,100.18,NA,Distribuidor,57.76
182,2025-10-17 09:19:43.191595797,80,21,37,380.66,Oriente,Online,222.7
183,2025-10-17 11:30:06.303151575,213,35,45,242.34,Sur,Distribuidor,175.65
184,2025-10-17 13:40:29.414707353,203,14,38,120.64,Sur,Tienda,71.98
185,2025-10-17 15:50:52.526263131,252,36,29,312.14,Centro,Online,179.83
186,2025-10-17 18:01:15.637818909,229,12,5,29.76,Sur,Tienda,17.53
187,17/10/2025,164,17,9,169.82,Centro,Distribuidor,NA
188,2025-10-17 22:22:01.860930465,227,39,48,239.59,Centro,Online,200.81
189,18/10/2025,147,9,2,82.5,Norte,Distribuidor,65.28
190,18/10/2025,20,35,1,492.48,Oriente,Tienda,295.3
191,2025-10-18 04:53:11.195597798,47,13,40,112.46,Oriente,Tienda,70.53
192,18/10/2025,233,15,30,73.87,Centro,Tienda,48.94
193,2025-10-18 09:13:57.418709354,14,18,11,109.73,Oriente,Online,NA
194,18/10/2025,143,33,28,386.84,Sur,Distribuidor,216.76
195,2025-10-18 13:34:43.641820910,1,6,44,218.5,Centro,Distribuidor,136.59
196,2025-10-18 15:45:06.753376688,54,27,12,287.05,Norte,Tienda,216.81
197,2025-10-18 17:55:29.864932466,259,23,39,20.29,Sur,Distribuidor,16.99
198,2025-10-18 20:05:52.976488244,144,27,26,26.87,Norte,Online,14.9
199,2025-10-18 22:16:16.088044022,12,34,13,228.45,Norte,Tienda,132.41
200,2025-10-19 00:26:39.199599799,224,38,8,410.16,Oriente,Tienda,237.48
201,2025-10-19 02:37:02.311155577,272,14,28,443.77,Oriente,Tienda,225.14
202,2025-10-19 04:47:25.422711355,156,36,30,52.49,Centro,Online,37.34
203,2025-10-19 06:57:48.534267133,8,8,9,273.8,Oriente,Tienda,201.17
204,2025-10-19 09:08:11.645822911,122,35,39,457.48,Norte,Tienda,325.22
205,19/10/2025,164,19,31,200.11,Norte,Tienda,105.05
206,2025-10-19 13:28:57.868934467,90,30,21,416.49,Sur,Tienda,218.34
207,19/10/2025,136,14,47,75.51,Norte,Distribuidor,43.32
208,2025-10-19 17:49:44.092046023,186,20,34,468.34,Centro,Tienda,281.75
209,2025-10-19 20:00:07.203601800,178,25,31,378.2,Centro,Online,293.21
210,19/10/2025,28,40,25,471.25,Oriente,Tienda,261.91
211,2025-10-20 00:20:53.426713356,220,24,12,341.54,Oriente,Tienda,176.04
212,2025-10-20 02:31:16.538269134,41,14,1,188.07,Oriente,Distribuidor,119.97
213,2025-10-20 04:41:39.649824912,228,26,22,469.71,Centro,Tienda,303.31
214,20/10/2025,192,38,40,145.03,Norte,Distribuidor,95.4
215,2025-10-20 09:02:25.872936468,145,23,37,172.76,Oriente,Online,136.38
216,20/10/2025,201,22,47,353.4,Sur,Distribuidor,188.82
217,2025-10-20 13:23:12.096048024,212,19,1,385.0,Oriente,Tienda,287.36
218,2025-10-20 15:33:35.207603801,220,3,1,465.41,Centro,Online,287.75
219,2025-10-20 17:43:58.319159579,240,19,42,110.35,Oriente,Tienda,67.15
220,2025-10-20 19:54:21.430715357,46,9,42,401.02,Norte,Distribuidor,331.4
221,2025-10-20 22:04:44.542271135,35,28,21,371.89,Oriente,Online,218.29
222,2025-10-21 00:15:07.653826913,253,20,15,41.26,Centro,Online,29.91
223,21/10/2025,82,7,17,199.74,Centro,Distribuidor,119.1
224,21/10/2025,256,14,22,148.56,Sur,Distribuidor,100.65
225,21/10/2025,197,9,38,159.2,Centro,Online,123.41
226,21/10/2025,10,19,35,491.64,Sur,Online,397.54
227,21/10/2025,286,14,45,324.96,Norte,Distribuidor,257.87
228,21/10/2025,242,38,16,361.66,Centro,Tienda,254.52
229,21/10/2025,251,36,8,488.54,Oriente,Online,286.81
230,21/10/2025,5,40,47,194.83,Norte,Distribuidor,142.5
231,21/10/2025,119,17,17,402.9,Oriente,Tienda,301.56
232,21/10/2025,289,30,17,222.92,Oriente,Online,NA
233,2025-10-22 00:09:21.880940470,65,9,26,436.07,Oriente,Online,285.07
234,22/10/2025,146,33,13,98.52,Norte,Distribuidor,78.34
235,2025-10-22 04:30:08.104052026,224,25,17,474.37,Norte,Tienda,318.47
236,2025-10-22 06:40:31.215607803,239,14,38,117.2,Centro,Online,71.37
237,22/10/2025,177,11,17,169.85,Oriente,Tienda,136.75
238,22/10/2025,267,35,48,380.53,Sur,Tienda,211.03
239,22/10/2025,282,14,14,202.94,Centro,Online,116.13
240,22/10/2025,63,30,45,308.02,Norte,Tienda,228.11
241,2025-10-22 17:32:26.773386693,217,4,6,227.84,Sur,Online,142.02
242,2025-10-22 19:42:49.884942471,283,4,35,373.76,Norte,Tienda,280.15
243,2025-10-22 21:53:12.996498249,177,28,46,121.88,Sur,Online,67.67
244,2025-10-23 00:03:36.108054027,98,8,14,38.64,Centro,Distribuidor,22.73
245,23/10/2025,105,2,47,156.97,Sur,Online,87.09
246,23/10/2025,99,22,8,242.41,Centro,Online,202.05
247,23/10/2025,6,16,15,92.33,Norte,Online,59.27
248,23/10/2025,197,29,27,183.85,Sur,Tienda,113.62
249,23/10/2025,133,30,13,205.99,Oriente,Distribuidor,104.02
250,2025-10-23 13:05:54.777388694,259,12,49,38.12,Oriente,Tienda,21.11
251,2025-10-23 15:16:17.888944472,23,35,31,295.82,Norte,Tienda,191.51
252,23/10/2025,53,11,35,443.33,Sur,Online,232.29
253,23/10/2025,165,21,6,84.35,Oriente,Tienda,57.25
254,23/10/2025,202,21,5,302.93,Centro,Online,199.71
255,23/10/2025,83,5,22,335.72,Sur,Distribuidor,258.0
256,2025-10-24 02:08:13.446723361,145,20,49,215.47,Sur,Tienda,157.49
257,24/10/2025,85,37,23,353.54,Oriente,Tienda,231.95
258,24/10/2025,78,3,25,211.26,Centro,Tienda,122.24
259,24/10/2025,1,33,34,257.27,Centro,Online,194.09
260,2025-10-24 10:49:45.892946473,51,9,26,13.6,Centro,Online,10.17
261,24/10/2025,173,9,47,348.94,Sur,Tienda,193.19
262,24/10/2025,205,4,5,334.06,Norte,Tienda,273.98
263,2025-10-24 17:20:55.227613806,260,35,26,28.82,Sur,Distribuidor,15.06
264,2025-10-24 19:31:18.339169584,288,17,20,190.44,Sur,Distribuidor,98.89
265,2025-10-24 21:41:41.450725362,34,34,6,489.73,Oriente,Distribuidor,276.98
266,24/10/2025,95,24,6,216.16,Norte,Distribuidor,176.89
267,2025-10-25 02:02:27.673836918,72,32,18,255.95,Centro,Distribuidor,174.56
268,2025-10-25 04:12:50.785392696,39,1,4,455.87,Oriente,Online,353.65
269,2025-10-25 06:23:13.896948474,154,8,17,361.46,Sur,Distribuidor,209.55
270,2025-10-25 08:33:37.008504252,250,23,14,295.21,Norte,Distribuidor,198.26
271,25/10/2025,162,40,14,400.92,Centro,Tienda,250.74
272,2025-10-25 12:54:23.231615807,118,12,13,433.54,Centro,Online,342.38
273,2025-10-25 15:04:46.343171585,259,12,7,233.88,Sur,Distribuidor,118.79
274,25/10/2025,268,15,44,242.8,Centro,Distribuidor,142.12
275,2025-10-25 19:25:32.566283141,54,19,15,199.16,Centro,Distribuidor,110.22
276,25/10/2025,236,26,19,483.69,Norte,Tienda,NA
277,25/10/2025,222,29,43,351.61,Oriente,Tienda,233.34
278,26/10/2025,251,22,47,50.78,Norte,Tienda,32.57
279,2025-10-26 04:07:05.012506253,112,40,44,432.85,NA,Distribuidor,284.52
280,26/10/2025,255,21,35,245.47,Oriente,Tienda,206.24
281,26/10/2025,207,38,17,43.69,Oriente,Distribuidor,34.85
282,26/10/2025,229,20,35,279.36,Centro,Online,208.75
283,26/10/2025,66,29,19,214.41,Norte,Distribuidor,NA
284,26/10/2025,75,4,20,440.1,Centro,Tienda,245.49
285,2025-10-26 17:09:23.681840920,103,7,36,109.96,Sur,Online,90.44
286,26/10/2025,192,28,35,414.97,Norte,Distribuidor,268.93
287,26/10/2025,252,28,32,283.27,Oriente,Online,169.27
288,2025-10-26 23:40:33.016508254,226,4,48,36.76,Centro,Online,24.44
289,27/10/2025,294,22,44,486.2,Centro,Online,399.29
290,27/10/2025,98,12,40,261.18,Norte,Distribuidor,165.97
291,27/10/2025,286,3,24,152.53,Norte,Tienda,106.3
292,2025-10-27 08:22:05.462731365,249,22,17,240.01,Oriente,Distribuidor,187.46
293,27/10/2025,166,2,7,430.35,Oriente,Tienda,279.51
294,27/10/2025,30,24,43,159.4,Sur,Distribuidor,92.73
295,2025-10-27 14:53:14.797398699,247,34,1,104.41,Oriente,Distribuidor,88.55
296,27/10/2025,106,27,35,73.24,Centro,Distribuidor,61.14
297,2025-10-27 19:14:01.020510255,51,1,32,155.95,Sur,Tienda,124.01
298,2025-10-27 21:24:24.132066033,81,8,36,392.22,Sur,Distribuidor,290.61
299,2025-10-27 23:34:47.243621811,133,23,13,241.1,Sur,Online,145.43
300,28/10/2025,285,38,6,121.47,Norte,Distribuidor,99.57
301,28/10/2025,138,6,14,91.43,Oriente,Online,54.53
302,28/10/2025,184,22,37,173.04,Sur,Tienda,135.02
303,2025-10-28 08:16:19.689844922,273,25,48,470.56,Norte,Tienda,386.51
304,28/10/2025,69,18,15,178.08,Norte,Distribuidor,126.62
305,2025-10-28 12:37:05.912956478,34,17,47,494.18,Sur,Distribuidor,NA
306,28/10/2025,262,12,4,247.76,Sur,Distribuidor,192.53
307,28/10/2025,53,6,40,97.79,Centro,Online,55.51
308,2025-10-28 19:08:15.247623812,205,26,16,446.66,Sur,Tienda,327.75
309,2025-10-28 21:18:38.359179589,126,27,28,235.57,Centro,Online,125.49
310,28/10/2025,235,8,16,357.74,Sur,Online,242.46
311,2025-10-29 01:39:24.582291145,43,19,4,492.02,Sur,Distribuidor,273.95
312,2025-10-29 03:49:47.693846923,240,1,45,34.59,Oriente,Distribuidor,22.34
313,2025-10-29 06:00:10.805402701,111,29,26,57.38,Sur,Online,45.42
314,29/10/2025,249,35,28,363.02,Sur,Online,306.94
315,2025-10-29 10:20:57.028514257,151,40,32,148.09,Centro,Distribuidor,90.53
316,29/10/2025,183,14,45,100.31,Centro,Distribuidor,68.83
317,29/10/2025,95,35,2,29.29,Oriente,Online,19.89
318,29/10/2025,8,20,31,20.7,Sur,Distribuidor,17.26
319,2025-10-29 19:02:29.474737368,184,13,3,389.5,Sur,Distribuidor,259.99
320,29/10/2025,281,38,8,75.87,Centro,Online,56.5
321,2025-10-29 23:23:15.697848924,195,8,24,239.18,Norte,Online,196.76
322,2025-10-30 01:33:38.809404702,195,20,15,306.89,Norte,Tienda,193.55
323,30/10/2025,155,33,43,219.89,Norte,Online,179.37
324,2025-10-30 05:54:25.032516258,93,26,31,23.28,Centro,Distribuidor,19.12
325,2025-10-30 08:04:48.144072036,160,39,9,393.92,Centro,Online,325.27
326,30/10/2025,61,21,39,15.15,Norte,Online,9.01
327,30/10/2025,122,9,45,383.33,Norte,Online,245.38
328,2025-10-30 14:35:57.478739369,51,24,2,447.72,Sur,Tienda,360.25
329,2025-10-30 16:46:20.590295147,277,37,8,222.09,Centro,Tienda,138.96
330,2025-10-30 18:56:43.701850925,5,17,7,272.42,Centro,Distribuidor,193.44
331,30/10/2025,92,24,44,243.72,Norte,Tienda,131.93
332,2025-10-30 23:17:29.924962481,170,21,39,200.71,Norte,Online,104.31
333,31/10/2025,22,39,42,444.84,Oriente,Tienda,286.56
334,31/10/2025,1,39,16,448.03,Centro,Online,314.8
335,2025-10-31 05:48:39.259629815,133,13,35,174.55,Oriente,Tienda,111.27
336,2025-10-31 07:59:02.371185592,233,11,30,311.38,Sur,Tienda,218.65
337,31/10/2025,12,19,10,464.18,Oriente,Tienda,315.77
338,31/10/2025,46,11,38,481.41,Norte,Online,356.24
339,2025-10-31 14:30:11.705852926,34,13,18,259.39,Centro,Tienda,188.66
340,2025-10-31 16:40:34.817408704,78,1,5,231.88,Centro,Online,150.37
341,2025-10-31 18:50:57.928964482,218,40,29,146.56,Oriente,Online,95.08
342,31/10/2025,73,19,39,479.85,Oriente,Distribuidor,263.57
343,31/10/2025,282,12,34,79.98,Sur,Tienda,54.36
344,2025-11-01 01:22:07.263631816,249,8,43,294.12,Sur,Distribuidor,207.51
345,2025-11-01 03:32:30.375187593,47,8,45,148.45,Norte,Distribuidor,98.98
346,01/11/2025,121,12,23,146.71,Norte,Online,90.08
347,2025-11-01 07:53:16.598299149,214,33,5,208.43,Norte,Tienda,156.86
348,2025-11-01 10:03:39.709854927,239,26,30,499.41,Oriente,Online,262.76
349,2025-11-01 12:14:02.821410705,56,39,6,36.93,Oriente,Online,30.28
350,2025-11-01 14:24:25.932966483,107,28,46,293.49,Centro,Tienda,148.87
351,2025-11-01 16:34:49.044522261,48,5,44,50.46,Norte,Online,42.23
352,2025-11-01 18:45:12.156078039,61,8,4,85.72,Oriente,Tienda,56.73
353,2025-11-01 20:55:35.267633817,26,25,29,225.39,Centro,Tienda,145.25
354,01/11/2025,292,27,23,260.13,Norte,Online,153.41
355,02/11/2025,257,23,6,136.81,Sur,Online,68.89
356,2025-11-02 03:26:44.602301150,8,30,32,165.06,Sur,Distribuidor,98.4
357,02/11/2025,113,23,42,52.61,Oriente,Online,28.32
358,02/11/2025,253,20,18,158.58,Centro,Tienda,115.91
359,02/11/2025,180,18,15,483.61,Sur,Distribuidor,295.81
360,2025-11-02 12:08:17.048524262,207,18,40,472.91,Centro,Tienda,363.44
361,2025-11-02 14:18:40.160080040,127,2,32,174.09,Centro,Distribuidor,99.65
362,2025-11-02 16:29:03.271635818,56,4,9,289.72,Sur,Online,236.15
363,02/11/2025,214,30,37,455.7,Centro,Online,311.26
364,2025-11-02 20:49:49.494747373,14,33,10,13.03,Sur,Online,7.04
365,02/11/2025,28,36,20,407.23,Oriente,Tienda,260.75
366,2025-11-03 01:10:35.717858929,78,18,6,474.7,Norte,Distribuidor,271.7
367,03/11/2025,216,37,48,54.75,Norte,Tienda,31.2
368,2025-11-03 05:31:21.940970485,154,19,3,89.11,Oriente,Distribuidor,NA
369,03/11/2025,14,28,42,480.77,Sur,Online,353.44
370,03/11/2025,187,40,11,273.39,Sur,Tienda,223.92
371,2025-11-03 12:02:31.275637819,7,20,43,16.96,Sur,Online,11.46
372,2025-11-03 14:12:54.387193596,3,33,17,136.24,Sur,Tienda,114.18
373,03/11/2025,111,12,32,230.47,Oriente,Online,191.19
374,2025-11-03 18:33:40.610305152,238,15,4,349.53,Norte,Tienda,280.59
